Talent,Activation,Ranked,Description,link,root,Force,sortval,rankbool,comp
Knockdown,Passive,No,"After hitting with a melee attack, the character may knock the target prone by spending a triumph result. If the target is larger than the acting character, it requires one additional triumph for each silhouette larger.",https://star-wars-rpg-ffg.fandom.com/wiki/Knockdown_talent,True,False,Knockdown-A,False,False
Know Somebody,Active (Incidental),Yes,"Once per game session, when attempting to purchase a legally available time, the character may reduce its rarity by one step per rank of Know Somebody.",https://star-wars-rpg-ffg.fandom.com/wiki/Know_Somebody_talent,True,False,Know Somebody-A,True,False
Know The Enemy,Passive,No,The character may choose to use the Knowledge (Warfare) skill when making checks to determine Initiative.,https://star-wars-rpg-ffg.fandom.com/wiki/Know_The_Enemy_talent,True,False,Know The Enemy-A,False,False
Know Their Weakness,Active (Action),Yes,"Once per session, the character may choose one target within short range and perform the Know Their Weakness action to make a Hard Perception check. If successful, the character downgrades the difficulty of social skill checks they make against that target once per rank of Know Their Weakness.",https://star-wars-rpg-ffg.fandom.com/wiki/Know_Their_Weakness_talent,True,False,Know Their Weakness-A,True,False
Improved Know Their Weakness,Passive,No,The character may extend the effects of Know Their Weakness to a number of enemy characters within short range equal to their rating of Presence.,https://star-wars-rpg-ffg.fandom.com/wiki/Know_Their_Weakness_talent,False,False,Know Their Weakness-B,False,False
Know-It-All,Active (Incidental),No,"Once per session, the character may, as if they had spent a Destiny Point, perfectly recall one important fact they previously learned. If the character's controlling player does not remember the specifics of the fact the player wishes to have the character recall, the Game Master should remind them of the relevant facts (provided the character has actually encountered the information).",https://star-wars-rpg-ffg.fandom.com/wiki/Know-It-All_talent,True,False,Know-It-All-A,False,False
Knowledge Is Power,Active (Incidental),No,"Force power. Once per session, when making a single check, the character may treat their Force rating as being equal to their ranks in Knowledge (Lore).",https://star-wars-rpg-ffg.fandom.com/wiki/Knowledge_Is_Power_talent,True,False,Knowledge Is Power-A,False,False
Knowledge Is Strength,Active (Incidental),No,"Force talent. Once per session, when making a check, the character may increase their Force rating by their ranks in Knowledge (Warfare) for the duration of the check. A character who has purchased this talent gains 1 Conflict at the beginning of each game session.",https://star-wars-rpg-ffg.fandom.com/wiki/Knowledge_Is_Strength_talent,True,True,Knowledge Is Strength-A,False,False
Knowledge Specialization,Active (Incidental),Yes,"When the character first acquires this talent, they may choose one Knowledge skill. When making checks with that skill, they may spend a triumph result to gain additional successes equal to their ranks in Knowledge Specialization.",https://star-wars-rpg-ffg.fandom.com/wiki/Knowledge_Specialization_talent,True,False,Knowledge Specialization-A,True,False
Knowledgeable Healing,Passive,No,"When the character performs a successful Medicine check to heal an ally, the character may spend on Destiny Point to allow the target to heal additional wounds equal to the character's ranks in Knowledge (Xeonology).",https://star-wars-rpg-ffg.fandom.com/wiki/Knowledgeable_Healing_talent,True,False,Knowledgeable Healing-A,False,False
Known Programming,Active (Action),No,"Once per session, the character may choose a single model of droid that they have encountered before and make a Hard Vigilance check. If the check is successful, minion and rival droids of that type upgrade the difficulty of their checks targeting the character, plus one ally per success result after the first, once for the rest of the encounter.",https://star-wars-rpg-ffg.fandom.com/wiki/Known_Programming_talent,True,False,Known Programming-A,False,False
Improved Known Programming,Passive,No,Allies affected by Known Programming also upgrade the ability of their checks targeting the chosen droid model once.,https://star-wars-rpg-ffg.fandom.com/wiki/Known_Programming_talent,False,False,Known Programming-B,False,False
Known Schematic,Active (Maneuver),No,"Once per game session, the character may spend a maneuver to make a Hard Knowledge (Education) check. Success means they are familiar with a building or capital ship's design. They now know the location of critical components or facilities within the ship or vehicle, as well as their own location. They can also plan unconventional routes around obstacles. Additional success, advantage or triumph results can reveal other useful information at the GM's discretion.",https://star-wars-rpg-ffg.fandom.com/wiki/Known_Schematic_talent,True,False,Known Schematic-A,False,False
Knows The Ropes,Passive,No,"Whenever the character is in binders or other personal restraints, they add a boost dice to checks made to free themselves equal to their ranks in Knowledge (Underworld). A triumph result on the check can be spent to free all other bound characters within short range.",https://star-wars-rpg-ffg.fandom.com/wiki/Knows_The_Ropes_talent,True,False,Knows The Ropes-A,False,False
Koiogran Turn,Active (Maneuver),No,"When the character is piloting a starship or vehicle which an opponent has gained the advantage the character may suffer 2 strain to perform the Koiogran Turn maneuver, immediately removing the effects of Gain the Advantage any opponents have on the character's starship or vehicle. This maneuver can only be performed in a starship or vehicle with a speed of 4 or higher.",https://star-wars-rpg-ffg.fandom.com/wiki/Koiogran_Turn_talent,True,False,Koiogran Turn-A,False,False
Larger Project,Passive,Yes,The character can choose a Signature Vehicle with a silhouette value 1 higher than normal per rank of Larger Project.,https://star-wars-rpg-ffg.fandom.com/wiki/Larger_Project_talent,True,False,Larger Project-A,True,False
Last One Standing,Signature Ability,Signature Ability,"The Hired Gun may very well be the last one standing when things go south, this signature ability allowing them to completely obliterate all living things they can see.",https://star-wars-rpg-ffg.fandom.com/wiki/Last_One_Standing,True,False,Last One Standing-A,False,True
Lateral Thinking,"Active (Incidental, Out of Turn)",No,"Once per encounter after an enemy succeeds on a check targeting the character, the character may spend one Destiny Point to force the enemy to reroll the check. If the enemy is a droid, the character does not spend a Destiny Point to use this talent.",https://star-wars-rpg-ffg.fandom.com/wiki/Lateral_Thinking_talent,True,False,Lateral Thinking-A,False,False
Lead From The Back,"Active (Incidental, Out of Turn)",Yes,"Once per round when an enemy makes a successful combat check targeting the character ,the character may spend 1 Destiny Point to perform the Lead from the Back incidental. The character chooses one allied NPC subordinate within short range, who becomes the target of the attack instead. At the GM's discretion, the character may select an allied NPC at a greater distance if they are between the character and the attacker.",https://star-wars-rpg-ffg.fandom.com/wiki/Lead_From_The_Back_talent,True,False,Lead From The Back-A,True,False
Lead From The Front,Active (Incidental),Yes,"After succeeding on a Leadership check or other check to inspire, lead, or rally an audience, the character may spend 1 Destiny Point to upgrade the ability of the next combat check made by each ally within short range once.",https://star-wars-rpg-ffg.fandom.com/wiki/Lead_From_The_Front_talent,True,False,Lead From The Front-A,True,False
Learning Opportunity,Active (Incidental),No,"Once per round, the character may spend three advantage results from a check they fail to upgrade the ability of their next check once.",https://star-wars-rpg-ffg.fandom.com/wiki/Learning_Opportunity_talent,True,False,Learning Opportunity-A,False,False
Let's Ride,Active (Incidental),No,"Once per round on the character's turn, the character may mount or dismount from a vehicle or beast, or slide into the cockpit or weapon station aboard a starship, as an incidental instead of a maneuver.",https://star-wars-rpg-ffg.fandom.com/wiki/Let%27s_Ride_talent,True,False,Let's Ride-A,False,False
Lethal Blows,Passive,Yes,The character adds +10 per rank of Lethal Blows to any Critical Injury rolls inflicted on opponents.,https://star-wars-rpg-ffg.fandom.com/wiki/Lethal_Blows_talent,True,False,Lethal Blows-A,True,False
Leverage,Passive,Yes,The character removes a setback dice per rank of Leverage from their Cool and Negotiation checks.,https://star-wars-rpg-ffg.fandom.com/wiki/Leverage_talent,True,False,Leverage-A,True,False
Loom,Passive,No,"When an ally engaged with the character makes a successful Charm, Deception, or Negotiation check, the character adds an advantage result per rank in Coercion to the ally's check.",https://star-wars-rpg-ffg.fandom.com/wiki/Loom_talent,True,False,Loom-A,False,False
Lose Them,Active (Action),No,"When being followed of chased, the character may take the Lose Them action and make a Hard Stealth check. If successful, they add two setback dice to checks to follow them for the remainder of the encounter and may spend a triumph from their check to lose their pursuers completely.",https://star-wars-rpg-ffg.fandom.com/wiki/Lose_Them_talent,True,False,Lose Them-A,False,False
Machine Mender,Passive,Yes,"When this character makes a Mechanics check to help a character heal wounds, the target heals one additional wound per rank of Machine Mender. (Typically, only droids can be healed with Mechanics check.)",https://star-wars-rpg-ffg.fandom.com/wiki/Machine_Mender_talent,True,False,Machine Mender-A,True,False
Made You Talk,Active (Action),No,"Once per session, the character may make an opposed social skill check against a captured enemy character within short range, adding a boost dice for every two strain the target has suffered this encounter. If the check is successful and the enemy is a minion, the PCs add a boost dice to their checks to determine Initiative when next fighting that enemy's organization. If the enemy is a rival, then the PCs add a boost dice to all checks made targeting that enemy and others from the rival's organization in their next encounter. If the enemy is a nemesis, during the next session each PC gains one personal Light Side Destiny Point that once spent is discarded from play (instead of being converted).",https://star-wars-rpg-ffg.fandom.com/wiki/Made_You_Talk_talent,True,False,Made You Talk-A,False,False
Makashi Finish,Active (Action),No,"Force talent. The character may take the Makashi Finish action, making a Lightsaber (Presence) combat check against an engaged target, adding a Force dice no greater than Force rating to the check. The character may spend Force points to add +10 to any Critical Injury roll resulting from the check.",https://star-wars-rpg-ffg.fandom.com/wiki/Makashi_Finish_talent,True,True,Makashi Finish-A,False,False
Makashi Flourish,Active (Action),No,"Force talent. Once per encounter, the character may take the Makashi Flourish action, making an Average Lightsaber (Presence) check. If it is successful, one engaged opponent suffers strain equal to successes (ignoring soak), and the character recovers an equal amount of strain. The character may also spend three advantage or a triumph result generated on the check to stagger the opponent until the end of the target's next turn.",https://star-wars-rpg-ffg.fandom.com/wiki/Makashi_Flourish_talent,True,True,Makashi Flourish-A,False,False
Makashi Technique,Passive,No,"Force talent. When making a check using the Lightsaber skill, the character may use Presence instead of Brawn.",https://star-wars-rpg-ffg.fandom.com/wiki/Makashi_Technique_talent,True,True,Makashi Technique-A,False,False
Manipulate,Force Ability,Force Ability,This allows an individual to use the force in order to affect machinery and mechanical components on a molecular level.,https://star-wars-rpg-ffg.fandom.com/wiki/Manipulate,True,True,Manipulate-A,False,True
Marked For Death,Active (Maneuver),No,"Force talent. The character may take the Marked for Death maneuver, selecting one target and committing a Force dice. The character adds two automatic advantage results to combat checks against that target while a Force dice remains committed, but cannot use the Marked for Death talent again until the character uncommits Force dice, the original target is incapacitated, or the session ends. Advantage results gained in this way cannot be used to recover strain.",https://star-wars-rpg-ffg.fandom.com/wiki/Marked_For_Death_talent,True,True,Marked For Death-A,False,False
Martial Grace,Active (Incidental),No,"Once per round, the character may suffer 2 strain to add additional damage equal to ranks in Coordination to one hit of a successful Brawl combat check.",https://star-wars-rpg-ffg.fandom.com/wiki/Martial_Grace_talent,True,False,Martial Grace-A,False,False
Master Artisan,Active (Incidental),No,"Once per round, the character may voluntarily suffer 2 strain to decrease the difficulty of their next Mechanics check (or their next check to build or mod an item) by one, to a minimum of Easy.",https://star-wars-rpg-ffg.fandom.com/wiki/Master_Artisan_talent,True,False,Master Artisan-A,False,False
Master Demolitionist,Active (Incidental),No,"When resolving an attack from a personal (non starship/vehicle) explosive or ordnance weapon, the character may spend an advantage or triumph result to have the weapon's Blast quality affect all characters within short range (rather than engaged). If the weapon normally affects all characters within short range, then the range of effect is increased to medium instead.",https://star-wars-rpg-ffg.fandom.com/wiki/Master_Demolitionist_talent,True,False,Master Demolitionist-A,False,False
Master Doctor,Active (Incidental),No,"Once per round, the character may suffer two strain to decrease the difficulty of their next Medicine check by one to a minimum of Easy.",https://star-wars-rpg-ffg.fandom.com/wiki/Master_Doctor_talent,True,False,Master Doctor-A,False,False
Master Driver,Active (Incidental),No,"Once per round when piloting a vehicle using the Piloting (Planetary) skill, the character may voluntarily suffer two strain to perform any action as a maneuver instead.",https://star-wars-rpg-ffg.fandom.com/wiki/Master_Driver_talent,True,False,Master Driver-A,False,False
Master Grenadier,Passive,No,The character decreases the advantage cost to active the Blast quality on any weapon they use by 1 to a minimum of 1. This includes the cost to activate the Blast quality if the weapon misses.,https://star-wars-rpg-ffg.fandom.com/wiki/Master_Grenadier_talent,True,False,Master Grenadier-A,False,False
Master Instructor,"Active (Incidental, Out of Turn)",No,"Once per round as an out of turn incidental, the character may suffer 2 strain to allow an ally within short range to count as having the same number of ranks in the Discipline skill as the character for the next Discipline check the ally makes.",https://star-wars-rpg-ffg.fandom.com/wiki/Master_Instructor_talent,True,False,Master Instructor-A,False,False
Master Leader,Active (Incidental),No,"Once per round, the character may suffer two strain to decrease the difficulty of their next Leadership check by one, to a minimum of Easy.",https://star-wars-rpg-ffg.fandom.com/wiki/Master_Leader_talent,True,False,Master Leader-A,False,False
Master Merchant,Active (Incidental),No,"Before making a check when buying or selling items, the character may choose to suffer two strain. If the check succeeds, they sell the item for 25% more than base cost or buy it for 25% less.",https://star-wars-rpg-ffg.fandom.com/wiki/Master_Merchant_talent,True,False,Master Merchant-A,False,False
Master Of Shadows,Active (Incidental),No,"Once per round, the character may voluntarily suffer 2 strain to decrease the difficulty of the next Stealth or Skulduggery check by one, to a minimum of Easy.",https://star-wars-rpg-ffg.fandom.com/wiki/Master_Of_Shadows_talent,True,False,Master Of Shadows-A,False,False
Master Of The Order,Active (Incidental),No,Force talent. The character may spend two Destiny Points during a single action.,https://star-wars-rpg-ffg.fandom.com/wiki/Master_Of_The_Order_talent,True,True,Master Of The Order-A,False,False
Master Pilot,Active (Incidental),No,"Once per round when piloting a starship (a ship piloted using the Piloting - Space skill), the character may voluntarily suffer strain to perform any action as a maneuver instead.",https://star-wars-rpg-ffg.fandom.com/wiki/Master_Pilot_talent,True,False,Master Pilot-A,False,False
Master Slicer,Active (Incidental),No,"Once per round, the character may perform a Master Slicer incidental to suffer two strain and decrease the difficulty of the next Computers or other slicing-related check by one, to a minimum of Easy.",https://star-wars-rpg-ffg.fandom.com/wiki/Master_Slicer_talent,True,False,Master Slicer-A,False,False
Master Starhopper,Active (Incidental),No,"Once per round, the character may suffer two strain to decrease the difficulty of their next Astrogation check by one, to a minimum of Easy.",https://star-wars-rpg-ffg.fandom.com/wiki/Master_Starhopper_talent,True,False,Master Starhopper-A,False,False
Master Strategist,Active (Incidental),No,"Once per phase during a mass combat, the character may suffer 2 strain to decrease the difficulty of the next Mass Combat check once.",https://star-wars-rpg-ffg.fandom.com/wiki/Master_Strategist_talent,True,False,Master Strategist-A,False,False
Meditative Trance,Passive,No,"Force talent. When suffocating, the character suffers 1 strain each round instead of 3. When exposed to vacuum, the character suffers 1 wound each round instead of 3.",https://star-wars-rpg-ffg.fandom.com/wiki/Meditative_Trance_talent,True,True,Meditative Trance-A,False,False
Menace,Active (Maneuver),No,"Once per round on the character's turn, the character may spend a maneuver to allow any suitably threatening creature linked through the Animal Bond talent and of Silhouette 2 or greater to perform the Menace maneuver when the creature is at short range with an enemy. The enemy gains a setback on their next Combat check against the character in the encounter. Enemy character who are immune to the effects of fear are also immune to this ability. The GM also has final determination as to if a creature can threaten an enemy, based on relative sizes and natures.",https://star-wars-rpg-ffg.fandom.com/wiki/Menace_talent,True,False,Menace-A,False,False
Mental Bond,Active (Action),No,"Force talent. The character may take the Mental Bond action, committing a Force dice. As long as a Force dice remains committed, they may communicate mentally with an animal bonded to them via the Animal Bond talent. They can see and hear what it sees and hears, and in structured encounters, they may direct their animal at up to extreme range.",https://star-wars-rpg-ffg.fandom.com/wiki/Mental_Bond_talent,True,True,Mental Bond-A,False,False
Mental Fortress,Active (Incidental),No,The character may spend one Destiny Point to ignore the effects of ongoing Critical Injuries on any Intellect- or Cunning-related checks until the end of the encounter. They still suffer from the injury itself.,https://star-wars-rpg-ffg.fandom.com/wiki/Mental_Fortress_talent,True,False,Mental Fortress-A,False,False
Mental Tools,Passive,No,Force talent. The character always counts as having the right tools for the job when performing Mechanics checks.,https://star-wars-rpg-ffg.fandom.com/wiki/Mental_Tools_talent,True,True,Mental Tools-A,False,False
Mind Bleed,"Active (Incidental, Out of Turn)",No,"Force talent. If a character is carrying items that total 2 encumbrance or less (after factoring in reductions such as for armor being worn) they may choose to perform the Mind Bleed incidental after a combat check targeting the character has been resolved. The character suffers a number of strain equal to the number of wounds suffered from the attack. If the character does so, the attacker suffers a number of wounds equal to this strain suffered. A character who has purchased this talent automatically gains 1 Conflict at the beginning of a game session.",https://star-wars-rpg-ffg.fandom.com/wiki/Mind_Bleed_talent,True,True,Mind Bleed-A,False,False
Mind Over Matter,Active (Incidental),No,The character may spend one Destiny Point to recover strain equal to their Willpower rating.,https://star-wars-rpg-ffg.fandom.com/wiki/Mind_Over_Matter_talent,True,False,Mind Over Matter-A,False,False
Misdirect,Force Ability,Force Ability,"Trickery is an important part of many Force users' arsenals, letting them tip the scales of battle in their favor or even avoid some conflicts entirely. Force users versed in shrouding techniques often walk unseen amidst their foes-a particularly useful ability for any Force-sensitive hiding from the Empire. Especially skilled crafters of illusions can even project visions onto those around them, baffling pursuers or terrifying enemies with horrific phantasms.",https://star-wars-rpg-ffg.fandom.com/wiki/Misdirect,True,True,Misdirect-A,False,True
Mission Critical,Active (Incidental),No,"Once per session after rolling a Piloting (Planetary) or Piloting (Space) check but before resolving it, the character may spend a Destiny Point to add successes or advantages to the results equal to their ranks in that skill. (The character may divide the results between successes and advantages in any combination.)",https://star-wars-rpg-ffg.fandom.com/wiki/Mission_Critical_talent,True,False,Mission Critical-A,False,False
Momentum,Passive,Yes,"When making a melee attack, the character deals additional damage equal to the number of range bands they moved during the current round.",https://star-wars-rpg-ffg.fandom.com/wiki/Momentum_talent,True,False,Momentum-A,True,False
More Machine Than Man,Passive,Yes,Each rank of More Machine than Man increases the character's cybernetic implant cap by 1.,https://star-wars-rpg-ffg.fandom.com/wiki/More_Machine_Than_Man_talent,True,False,More Machine Than Man-A,True,False
Most Impressive,Active (Incidental),No,The character may spend a triumph result from any skill check to allow a number of allies not exceeding their rating in Presence within short range to add an automatic advantage result to their next skill check.,https://star-wars-rpg-ffg.fandom.com/wiki/Most_Impressive_talent,True,False,Most Impressive-A,False,False
Move,Force Ability,Force Ability,"Many Force users develop the ability to shift objects without physically handling them, moving matter with the power of the mind. Those with a modicum of training in the skill can cause small objects to slowly and painstakingly rise, fall, or travel in space. True masters of the Force are rumored to be able to hurl starships about or juggle heavy crates in the air. Other applications of the power allow for Force users to manipulate control panels or computer keyboards at a distance. There is thought to be no limit what a Force user could move with the application of enough concentration. When moving items, the default speed is slow and deliberate, not fast enough to inflict injury or accurate enough to allow for fine manipulation.",https://star-wars-rpg-ffg.fandom.com/wiki/Move,True,True,Move-A,False,True
Moving Target,Passive,Yes,"If the character has already acted this round, increase their ranged defense by 1 per rank of Moving Target.",https://star-wars-rpg-ffg.fandom.com/wiki/Moving_Target_talent,True,False,Moving Target-A,True,False
Much to Learn,Signature Ability,Signature Ability,This signature ability allows a character to bestow a talent that they possess onto an ally (at the same rank).,https://star-wars-rpg-ffg.fandom.com/wiki/Much_to_Learn,True,False,Much to Learn-A,False,True
Multiple Opponents,Passive,No,"The character adds a boost dice to their Brawl, Melee, and Lightsaber combat checks when engaged with multiple opponents. This includes single groups of multiple minions.",https://star-wars-rpg-ffg.fandom.com/wiki/Multiple_Opponents_talent,True,False,Multiple Opponents-A,False,False
Museum Worthy,Active (Action),No,"Once per game session, the character may take an action to make a Hard Knowledge (Education) check regarding a single relic, ruin, or piece of galactic history (subject to the GM's approval). If successful, the character knows an amount of information about the item based on the number of success results rolled.",https://star-wars-rpg-ffg.fandom.com/wiki/Museum_Worthy_talent,True,False,Museum Worthy-A,False,False
My City,Signature Ability,Signature Ability,This ability of the Sentinel allows the character to make a knowledge check in an urban setting to learn or recall the location of anything or anyone in the city.,https://star-wars-rpg-ffg.fandom.com/wiki/My_City,True,False,My City-A,False,True
Narrow Escape,Signature Ability,Signature Ability,"This signature ability exemplifies the Smuggler's slippery state of being, often capable of making a getaway where many would have fallen into the hands of the law or a trap.",https://star-wars-rpg-ffg.fandom.com/wiki/Narrow_Escape,True,False,Narrow Escape-A,False,True
Natural Athlete,Active (Incidental),No,"Once per game session, the character may reroll any one Athletics or Coordination check.",https://star-wars-rpg-ffg.fandom.com/wiki/Natural_Athlete_talent,True,False,Natural Athlete-A,False,False
Natural Blademaster,Active (Incidental),No,"Once per game session, the character may reroll any one Lightsaber or Melee check.",https://star-wars-rpg-ffg.fandom.com/wiki/Natural_Blademaster_talent,True,False,Natural Blademaster-A,False,False
Natural Brawler,Active (Incidental),No,"Once per game session, the character may reroll any one Brawl or Melee check.",https://star-wars-rpg-ffg.fandom.com/wiki/Natural_Brawler_talent,True,False,Natural Brawler-A,False,False
Natural Champion,Active (Incidental),No,"Once per game session, the character may reroll any one Leadership or Lightsaber check.",https://star-wars-rpg-ffg.fandom.com/wiki/Natural_Champion_talent,True,False,Natural Champion-A,False,False
Natural Charmer,Active (Incidental),No,"Once per game session, the character may reroll any one Charm or Deception check.",https://star-wars-rpg-ffg.fandom.com/wiki/Natural_Charmer_talent,True,False,Natural Charmer-A,False,False
Natural Commando,Active (Incidental),No,"Once per session, the character may reroll one Ranged (Light) or Stealth check.",https://star-wars-rpg-ffg.fandom.com/wiki/Natural_Commando_talent,True,False,Natural Commando-A,False,False
Natural Doctor,Active (Incidental),No,"Once per game session, the character may reroll any one Medicine check.",https://star-wars-rpg-ffg.fandom.com/wiki/Natural_Doctor_talent,True,False,Natural Doctor-A,False,False
Natural Driver,Active (Incidental),No,"Once per game session, the character may reroll any one Piloting (Planetary) or Gunnery check.",https://star-wars-rpg-ffg.fandom.com/wiki/Natural_Driver_talent,True,False,Natural Driver-A,False,False
Natural Enforcer,Active (Incidental),No,"Once per game session, the character may reroll any one Coercion or Streetwise check.",https://star-wars-rpg-ffg.fandom.com/wiki/Natural_Enforcer_talent,True,False,Natural Enforcer-A,False,False
Natural Hunter,Active (Incidental),No,"Once per game session, the character may reroll any one Perception or Vigilance check.",https://star-wars-rpg-ffg.fandom.com/wiki/Natural_Hunter_talent,True,False,Natural Hunter-A,False,False
Natural Instructor,Active (Incidental),No,"Once per game session, the character may reroll any one Discipline or Leadership check.",https://star-wars-rpg-ffg.fandom.com/wiki/Natural_Instructor_talent,True,False,Natural Instructor-A,False,False
Natural Leader,Active (Incidental),No,"Once per game session, the character may reroll any one Cool or Leadership check.",https://star-wars-rpg-ffg.fandom.com/wiki/Natural_Leader_talent,True,False,Natural Leader-A,False,False
Natural Marksman,Active (Incidental),No,"Once per game session, the character may reroll any one Ranged (Light) or Ranged (Heavy) check.",https://star-wars-rpg-ffg.fandom.com/wiki/Natural_Marksman_talent,True,False,Natural Marksman-A,False,False
Natural Merchant,Active (Incidental),No,"Once per game session, the character may reroll any one Streetwise or Negotiation check.",https://star-wars-rpg-ffg.fandom.com/wiki/Natural_Merchant_talent,True,False,Natural Merchant-A,False,False
Natural Mystic,Active (Incidental),No,"Force talent. Once per session, the character may reroll any one Force power check.",https://star-wars-rpg-ffg.fandom.com/wiki/Natural_Mystic_talent,True,True,Natural Mystic-A,False,False
Natural Negotiator,Active (Incidental),No,"Once per game session, the character may reroll any one Cool or Negotiation check.",https://star-wars-rpg-ffg.fandom.com/wiki/Natural_Negotiator_talent,True,False,Natural Negotiator-A,False,False
Natural Operator,Active (Incidental),No,"Once per game session, the character may reroll any one Gunnery or Ranged (Heavy) check.",https://star-wars-rpg-ffg.fandom.com/wiki/Natural_Operator_talent,True,False,Natural Operator-A,False,False
Natural Outdoorsman,Active (Incidental),No,"Once per game session, the character may reroll any one Resilience or Survival check.",https://star-wars-rpg-ffg.fandom.com/wiki/Natural_Outdoorsman_talent,True,False,Natural Outdoorsman-A,False,False
Natural Pilot,Active (Incidental),No,"Once per game session, the character may reroll any one Piloting (Space) or Gunnery check.",https://star-wars-rpg-ffg.fandom.com/wiki/Natural_Pilot_talent,True,False,Natural Pilot-A,False,False
Natural Programmer,Active (Incidental),No,"Once per game session, the character may reroll any one Computers or Astrogation check.",https://star-wars-rpg-ffg.fandom.com/wiki/Natural_Programmer_talent,True,False,Natural Programmer-A,False,False
Natural Rogue,Active (Incidental),No,"Once per game session, the character may reroll any one Skulduggery or Stealth check.",https://star-wars-rpg-ffg.fandom.com/wiki/Natural_Rogue_talent,True,False,Natural Rogue-A,False,False
Natural Scholar,Active (Incidental),No,"Once per game session, the character may reroll any one Knowledge skill check.",https://star-wars-rpg-ffg.fandom.com/wiki/Natural_Scholar_talent,True,False,Natural Scholar-A,False,False
Natural Tinkerer,Active (Incidental),No,"Once per game session, the character may reroll any one Mechanics check.",https://star-wars-rpg-ffg.fandom.com/wiki/Natural_Tinkerer_talent,True,False,Natural Tinkerer-A,False,False
Natural Trooper,Active (Incidental),No,"Once per game session, the character may reroll any one Gunnery or Ranged (Heavy) check.",https://star-wars-rpg-ffg.fandom.com/wiki/Natural_Trooper_talent,True,False,Natural Trooper-A,False,False
Niman Technique,Passive,No,"Force talent. When  making a Lightsaber skill check, the character may use Willpower instead of Brawn.",https://star-wars-rpg-ffg.fandom.com/wiki/Niman_Technique_talent,True,True,Niman Technique-A,False,False
No Escape,Passive,No,"Force talent. When making a Coercion check, the character may spend two advantage results to cause one enemy within short range to lose their free maneuver during their next turn. When a foe within short range makes a Fear check, the character may spend two threat results from that check to cause that enemy to lose their free maneuver during their next turn.",https://star-wars-rpg-ffg.fandom.com/wiki/No_Escape_talent,True,True,No Escape-A,False,False
Nobody's Fool,Passive,Yes,"The difficulty of any Charm, Coercion, and Deception checks attempted against the character is upgraded once for each rank of Nobody's Fool.",https://star-wars-rpg-ffg.fandom.com/wiki/Nobody%27s_Fool_talent,True,False,Nobody's Fool-A,True,False
Improved Nobody's Fool,"Active (Incidental, Out of Turn)",No,"When targeted by a Charm, Coercion, or Deception check, the character may spend a despair or three threat results from the check to inflict strain on the opponent equal to the character's ranks in Nobody's Fool.",https://star-wars-rpg-ffg.fandom.com/wiki/Nobody%27s_Fool_talent,False,False,Nobody's Fool-B,False,False
Not Today,"Active (Incidental, Out of Turn)",No,"Once per session, if the character's Signature Vehicle would be destroyed, the character may spend a Destiny Point to save it. If it would be destroyed by a Critical Hit, the Critical Hit is still suffered, but the effect is ignored. If it would be destroyed by some other event, the details of how the starship or vehicle survives the near-destruction are up to the player and the GM.",https://star-wars-rpg-ffg.fandom.com/wiki/Not_Today_talent,True,False,Not Today-A,False,False
Now The Master,Active (Incidental),No,"Once per session, the character may choose any one character in the current encounter and one talent or Force power that the target character possesses. For the remainder of the encounter, the character counts as having that talent or Force power. If the character selects a ranked talent, they count as having ranks in that talent equal to the number of ranks in that talent that the target possesses. If the character selects a Force power, they count as having the same number and type of upgrades that the target possesses.",https://star-wars-rpg-ffg.fandom.com/wiki/Now_The_Master_talent,True,False,Now The Master-A,False,False
Now You See Me,Active (Action),No,"Force talent. Once per session the character may take the Now You See Me action, making a Hard Deception check. If successful, a number of NPCs equal to their Cunning within medium range forget any interactions they had with the character during the last thirty minutes. At the GM's discretion, multiple threat or despair results may give the NPCs in question unpleasant side effects, such as confusion, nightmares, or a persistent and maddening suspicion that they've forgotten something important.",https://star-wars-rpg-ffg.fandom.com/wiki/Now_You_See_Me_talent,True,True,Now You See Me-A,False,False
Offensive Driving,Active (Maneuver),No,"As a maneuver, the character may inflict a number of system strain on their vehicle no greater than its highest defense value and choose a vehicle within close range. If the character does so, upgrade the difficulty of the next Piloting (Planetary) or Piloting (Space) check that vehicle's pilot makes before the end of the encounter for each system strain inflicted on their craft this way.",https://star-wars-rpg-ffg.fandom.com/wiki/Offensive_Driving_talent,True,False,Offensive Driving-A,False,False
On My Order,Active (Action),No,"The character may take the On My Order action, making a Hard Leadership check. If the check succeeds, the character chooses a number of crew aboard their ship equal to their Presence. Those crew members upgrade the ability of their next Gunnery check once, plus one time for every additional two success results on the check.",https://star-wars-rpg-ffg.fandom.com/wiki/On_My_Order_talent,True,False,On My Order-A,False,False
Once A Learner,Active (Action),No,"Force talent. The character may perform the Once a Learner action. The character suffers 4 strain, increases the Force rating of one ally within short range by an amount equal to the character's current Force rating until the end of the character's next turn. The character may not make any Force Power checks until after their next turn.",https://star-wars-rpg-ffg.fandom.com/wiki/Once_A_Learner_talent,True,True,Once A Learner-A,False,False
One Person's Trash,Active (Action),No,"The character may make a Perception check in order to locate a particular item amid a battlefield, shipwreck, junkyard, or other location with potential salvage. The difficulty of the check is equal to half the item's rarity, rounded down. There is no cost to acquire an item this way, but the item is in need of moderate repairs when found.",https://star-wars-rpg-ffg.fandom.com/wiki/One_Person%27s_Trash_talent,True,False,One Person's Trash-A,False,False
