,Equipment,Skill,Damage,Crit,Range,Encumbrance,Hard Points,Price,Rarity,Restricted,Qualities,Description,Type,Defense,Soak
181,Model 201 Mortar,Gunnery,15,3,Extreme,10,1,5400,7,Yes,"Blast 12, Breach 1, Limited Ammo 5, Prepare 2, Slow-Firing 1","This is a portable artillery system seldom seen on the front lines at it is used only be specialized clone troopers. Capable of launching massive charges over great ranges, the mortar is used by a team of 3 and used for assault support. Can be broken down into 3 separate parts for transport to be carried by different people.

Can only be used at medium to extreme range. Cannot be used at short or engaged range.",weapon,,
182,Shaped Thermal Grenade,Ranged (Light),20,2,Short,1,0,3500,8,Yes,"Breach 2, Limited Ammo 1, Vicious 5",This is a special form of thermal detonator which is favoured by special forces and marines due to its ability to focus all the damage into a single direction.,weapon,,
183,Thermal Detonator,Ranged (Light),20,2,Short,1,0,2000,8,Yes,"Blast 15, Breach 1, Limited Ammo 1, Vicious 4","This is one of the most fearsome weapons in the galaxy and is only the size of a typical frag grenade. The explosive device has immense destructive properties. The device may be set to detonate on impact or after 3 rounds, as well as using a dead man's switch.",weapon,,
184,Missile Tube,Gunnery,20,2,Extreme,7,4,7500,8,Yes,"Blast 10, Breach 1, Cumbersome 3, Guided 3, Limited Ammo 6, Prepare 1",This is a heavy weapon typically used against armoured vehicles and fired from the shoulder.,weapon,,
185,RPS-6 Rocket Launcher,Gunnery,22,2,Extreme,8,4,8200,8,Yes,"Blast 14, Breach 1, Cumbersome 4, Guided 2, Limited Ammo 7","Distributed to clone troopers that are likely to encounter heavily armoured resistance or attacks, this massive missile tube is capable of firing all sorts of missiles. It also has a 7-round magazine and specialised optic system. If attacking target of silhouette 2 or greater, add 1 additional boost dice when performing an aim maneuver.",weapon,,
186,Anti-Vehicle Mine,Mechanics,25,2,Engaged,4,0,1400,6,Yes,"Blast 2, Breach 4, Limited Ammo 1",These bulky explosive devices are usually rigged in a concealed manner where a vehicle is likely to pass over - be it speeder or walker. It can also be used as a breaching charge by more adventurous soldiers.,weapon,,
187,Incendiary Missile,Gunnery,10,3,Extreme,-,0,145,7,Yes,"Blast 10, Burn 3, Guided 2","Described as a ""war crime in a bottle"", these missiles are very restricted, difficult to acquire as a regular citizen. Even many militaries refuse to use these weapons. This missile may only be fired from a missile tube.",weapon,,
188,Fragmentation Missile,Gunnery,12,4,Extreme,-,0,75,7,No,"Blast 12, Guided 3","The fragmentation missile is the best anti-personnel ordnance available for the price. The missile is designed for use against formations of lightly armoured troops, using razor-sharp shrapnel contained in the warhead. This missile may only be fired from a missile tube.",weapon,,
189,Concussion Missile,Gunnery,14,4,Extreme,-,0,200,8,No,"Blast 10, Concussive 3, Disorient 5, Guided 2","The concussion missile creates a lethal blast when it detonates, killing targets instantly near the blast point and creating a shockwave which incapacitates others that may survive. This missile may only be fired from a missile tube.

The disorient quality on this weapon affects all targets within short range of initial target if it is activated (like Blast usually would). The concussive quality on this weapon affects all targets within engaged range of initial target if it is activated.",weapon,,
190,SK-44 Plasma Missile,Gunnery,16,3,Medium,-,0,160,8,Yes,"Blast 14, Cumbersome 3, Inaccurate 1, Pierce 2","This missile explodes with a great amount of power thanks to the high-energy gas compressed within the warhead. However, the trade-off for this explosive capability is a short effective range. May only be used with a missile tube.",weapon,,
191,High-Explosive Missile,Gunnery,18,3,Long,-,0,200,6,Yes,"Blast 6, Breach 2, Guided 2",The HE missile contains a warhead of shaped explosives that gives infantry a long range anti-armour option. These missiles are also employed to destroy fortifications and weapon emplacements. This missile may only be fired from a missile tube.,weapon,,
192,Ink Mini-Torpedo,Ranged (Heavy),0,None,Long,1,0,50,5,No,"Blast 0, Disorient 4, Limited Ammo 1","These torpedoes are filled with a thick black liquid which quickly disperses upon detonation of the low powered charge contained inside. This may be fired with the Mini-Torpedo Launcher.

Ink cloud forms within short range and lasts 4 rounds (or longer in still water).",weapon,,
193,Net Mini-Torpedo,Ranged (Heavy),0,None,Medium,1,0,100,5,No,"Blast 0, Ensnare 6, Limited Ammo 1","These torpedoes contain a net connected to a set of 4 weights, which disperse to unfurl the net when the torpedo detonates. This may be fired with the Mini-Torpedo Launcher.

Multiple targets may be caught by the net.",weapon,,
194,Stun Mini-Torpedo,Ranged (Heavy),8,2,Long,1,0,300,5,No,"Blast 4, Concussive 2, Limited Ammo 1, Stun Damage",These torpedoes release a concussive blast and detonates with a set of bright flashes. This may be fired with the Mini-Torpedo Launcher.,weapon,,
195,Anti-Personnel Mini-Torpedo,Ranged (Heavy),8,2,Long,1,0,100,5,No,"Blast 6, Limited Ammo 1","These torpedoes function as fragmentation grenades, firing out shrapnel to wound groups of enemies within an area of effect. This may be fired with the Mini-Torpedo Launcher.",weapon,,
196,Ion Mini-Torpedo,Ranged (Heavy),10,2,Long,1,0,150,6,No,"Blast 8, Ion, Limited Ammo 1","These torpedoes are used specifically as anti-vehicle and anti-droid weapons, thus proved popular during the Battle of Mon Cala in the clone wars.",weapon,,
197,Armour-Piercing Mini-Torpedo,Ranged (Heavy),12,3,Medium,1,0,150,6,No,"Blast 2, Limited Ammo 1, Pierce 4","These torpedoes are designed to be extremely effective against single targets, effective against light vehicles and large sea creatures. This may be fired with the Mini-Torpedo Launcher.",weapon,,
198,Stokhli Spray Stick,Ranged (Heavy),0,-,Long,4,0,2500,8,No,"Accurate 2, Ensnare 4, Slow-Firing 1, Stun 8","This ancient design was used by the Stokhli for hunting the incredibly aggressive megafauna of their homeworld. They have a spray-net mist which immobilises a target, with the other end of the weapon bearing a stun-pad. Can be used as a melee weapon",weapon,,
199,Mk I Saberdart,Ranged (Light),1,-,Long,3,2,1600,9,No,Limited Ammo 1,"This small weapon made by Kaminoan Weaponsmiths is used to fire darts filled with a poison of the user's choice. Can be loaded with 1 dose of poison, on successful hit (no damage needed), target suffers effect from poison.",weapon,,
200,Stealth-2VX Palm Shooter,Ranged (Light),1,5,Short,0,0,300,5,No,Limited Ammo 3,"This is one of the smallest and easiest concealed weapons in the galaxy. The darts fired are typically not deadly, but can be loaded with any poison... which can be deadly.",weapon,,
201,Tangle Gun 7,Ranged (Heavy),1,4,Short,2,1,500,5,No,Ensnare 3,"This crowd control weapon is the size of a carbine which fires a pellet of naorstrachem. This sticky and flexible material explosively expands when exposed to the air, forming into a net due to being a synthetic memory material.",weapon,,
202,Ascian Throwing Dagger,Ranged (Light),1,2,Short,1,0,65,7,No,"Pierce 2, Limited Ammo 1","These finely weighted and balanced daggers are designed specifically for throwing, made of durasteel and bearing a mono-molecular edge.",weapon,,
203,Bola / Net,Ranged (Light),2,-,Short,01-Mar,2,20,2,No,"Ensnare 3, Knockdown, Limited Ammo 1","Bolas and Nets are used by a variety of professions, capable of capturing targets, be it animal or bounty.",weapon,,
204,Multi-Goo Gun,Ranged (Light),2,-,Short,2,1,250,1,No,"Disorient 1, Ensnare 4, Knockdown","This is an all-in-one spray injector that Technicians all over the galaxy favour for repair works. It's always a simple fix when using this, even if a temporary one.",weapon,,
205,"AO14 ""Aranea"" Net Gun",Ranged (Heavy),3,-,Short,4,2,750,5,No,Ensnare 5,This highly popular non-lethal weapon by Palandrix Personal Protection Gear fires darts filled with a light mesh designed to entangle their target.,weapon,,
206,"""Impact"" Repulsor Cannon",Ranged (Heavy),3,6,Medium,5,1,1000,7,No,"Blast 3, Concussive 1, Knockdown, Prepare 1, Slow-Firing 1","This cannon uses a specific type of repulsor technology that is rarely produced in the galaxy. The weapon is capable of smacking down a target, allowing a hunter to then move in with binders and neutralise them.",weapon,,
207,Repulsor Gun,Ranged (Heavy),3,5,Short,5,0,200,3,No,Knockdown,"Similar to ion thursters, technicians often have repulsor engines laying around, and with a couple quick modifications, they can make a small pushing gun. On a despair result, gun backfires. The user is knocked prone and disoriented for 2 rounds.",weapon,,
208,Grapnel-Harpoon Launcher,Ranged (Light),3,5,Medium,2,0,450,5,No,Ensnare 3,"While often thought of as little more than a tool for climbing, the launcher is also used by many bounty hunters for entangling their mark - only causing some superficial wounds as the harpoon buries into the target. As an action make an Average (2 difficulty) Ranged (Light) check to secure the hook onto a target. Reel it in or reel self to object as an action. May bring someone along with them while reeling in, requiring an Average (2 difficulty) Athletics check.",weapon,,
209,Mk VIII Gravitic Mortar Launcher,Gunnery,4,-,Long,6,1,2800,7,Yes,"Inaccurate 1, Prepare 1","This weapon by Golan Arms is a simple mortar system, capable of firing a special round which is used to clear minefields using gravity fluctuations. When a gravitic round detonates inside a minefiled, it triggers all mines within medium range. Some mines may remain if 2 disadvantage results are rolled.",weapon,,
210,Aurateran Boomerang,Ranged (Light),4,5,Medium,1,0,65,6,No,"Guided 1, Limited Ammo 1","This is a simple wooden weapon, used by natives due to its reliability as a side-arm. An advantage result on a miss allows the boomerang to return to the thrower.",weapon,,
211,Rivet Gun,Ranged (Light),4,3,Engaged,4,1,900,1,No,"Ensnare 1, Inaccurate 2, Limited Ammo 1","This bulky piece of equipment uses a basic system to fire bolts into armour plating, with different settings depending on target thickness and size. Reduce difficulty of Mechanics checks to repair Critical Hits on vehicles and starships by 1.",weapon,,
212,Vibrorang,Ranged (Light),4,2,Medium,1,0,300,4,No,"Limited Ammo 1, Pierce 2, Vicious 1","Only seen in more remote areas of the galaxy, this throwing weapon has incorporated vibro-blade technology and can be hurled at amazing distances. Spend 2 advantage when a check misses to return the weapon to user's possession.",weapon,,
213,NX-14 Needler,Ranged (Light),5,-,Short,1,1,650,7,Yes,Pierce 3,"A very rare sight, this needler built by Golan Arms. It is small and quite silent - perfect to silently take out targets. Remove all setback dice imposed by defense of a personal deflector shield.

Add 1 setback dice to find the concealed weapon.",weapon,,
214,Corellian Compound Bow,Ranged (Heavy),5,5,Medium,3,1,200,5,No,"Cumbersome 3, Knockdown, Limited Ammo 1, Pierce 1","This large bow uses a series of weights and pulleys to reduce the weight or and resistance on the user when drawn - which allows for a longer aiming period, increasing accuracy. Arrows used for this profile can be replaced for 1 credit each at most.",weapon,,
215,Longbow,Ranged (Heavy),5,5,Long,5,1,120,4,No,"Cumbersome 3, Limited Ammo 1, Pierce 1","This traditional and primitive weapon is still relevant today as a cheap alternative to another long-range weapon. However, it is quite difficult to conceal.",weapon,,
216,Ion Thruster Gun,Ranged (Heavy),5,4,Short,8,0,300,2,No,"Concussive 1, Cumbersome 5, Ion, Prepare 1","Ion thrusters are generally used as engines for all sorts of vehicles, from speeders to capital ships. Many technicians would likely have a spare couple laying around... and they can be used (albeit ineffectively) as a weapon in a pinch.",weapon,,
217,FS19 Compound Bow,Ranged (Heavy),5,4,Medium,4,2,500,7,No,"Cumbersome 3, Limited Ammo 1, Pierce 1, Vicious 2",This traditional bow constructed by Field Sports is one of the best on the market. Comes with a set of Broadhead Arrows.,weapon,,
218,Repulsor Throwing Razor,Ranged (Light),5,2,Medium,2,1,850,7,No,"Guided 2, Limited Ammo 1, Pierce 2, Vicious 1","A traditional gladiatorial weapon of Rodia, this weapon uses small repulsor engines to extend its range and even return to the user. It is prized among Rodian bounty hunters. Spend 2 advantage results on a missed attack to have the weapon return at the beginning of the next turn.",weapon,,
219,"""Firecaller"" Flame Projector",Ranged (Light),5,2,Short,4,1,1200,7,Yes,"Blast 2, Burn 2, Pierce 2, Vicious 3","This weapon is a lighter version of the usual flame projector. Just as intimidating (as all flaming weapons) but only half as powerful. However, it is popular thanks to its easy to use size.",weapon,,
220,CryoBan Rifle,Ranged (Light),6,-,Medium,2,1,450,6,No,"Ensnare 1, Pierce 5, Stun Damage","The Loronar CyroBan rifle is based off the same technology used in firefighting and preservation tools. When fired, the beam dissipates the free energy of its target - causing extreme drops in temperature. When used against a target wearing armour that protects against extreme cold, the weapon loses the Pierce quality.

Making melee attacks against targets struck by a CryoBan in the current round, add 2 boost dice to the check.",weapon,,
221,Mk-127 Concealable Disc Launcher,Ranged (Light),6,3,Short,0,1,800,7,No,"Limited Ammo 4, Pierce 1, Vicious 1","This small wrist-mounted weapon fires a bust of sharp discs that can shred through armour and flesh similar to a flechette. It is prized by spies due to its silence and stealth characteristics. May change weapon's spread to an arc with a maneuver. This gives the weapon Blast 6, but if activated, exhausts the weapon's ammunition.

If one is worn on each wrist, may be fired as a single weapon with Linked 2.

Noticing that this weapon is worn requires a Hard (3 difficulty) Perception check.

Reloads of 4 discs cost 100 credits.",weapon,,
222,Luma Flare,Gunnery,6,3,Long,1,0,50,4,No,"Blast 4, Burn 4, Disorient 2, Inaccurate 2, Prepare 2, Limited Ammo 1","This piece of equipment fires a rocket-propelled luminous compound which is spread over a large area. Make an easy (1 difficulty) gunnery check to illuminate an area up to long range. Failure illuminates an area up to short range. The flare burns out after 5 rounds.

It can be used as a weapon with the following profile;",weapon,,
223,CryoBan Projector,Ranged (Heavy),6,2,Short,3,0,500,4,No,"Blast 6, Cumbersome 3, Vicious 2","Designed for putting out fires aboard starship, it can easily be used as an improvised weapon, flash-freezing opponents caught in the blast. Add 1 boost dice to attempts for putting out a fire. Add additional boost dice to checks to assist a character when using the projector.",weapon,,
224,L70 Acid Projector,Ranged (Heavy),6,2,Short,4,1,1250,7,No,"Blast 6, Burn 3, Vicious 1","This weapon is like a flame projector, except it fires out a xenoboric acid which is capable of burning through virtually any material. The acid forms from two different chemical compounds mixing when fired. When Burn is triggered, can be applied to any target hit by the weapon. May be triggered multiple times for different targets. Burn cannot be stopped by rolling around due to being of a chemical nature. Burn may apply to allies hit by the attack when upon 2 disadvantage results.",weapon,,
225,Spray Rifle,Ranged (Heavy),7,-,Medium,4,1,2700,6,No,"Burn 3, Limited Ammo 3, Pierce 3, Prepare 1, Stun Damage",The Loronar Spray Rifle fires a specialized and highly pressurized fluid. It contains a sedative which is easily absorbed by the skin. The fluid is also known of penetrating many types of sealed armour - making it more effective than an airborne sedative.,weapon,,
226,R-88 Riot Rifle,Ranged (Heavy),8,-,Medium,4,2,2000,5,No,"Blast 5, Disorient 3, Stun Damage","This non-lethal weapon fires a highly effective nerve agent as a stream which quickly aerosolizes as it travels the range. The fluid causes nausea, impaired vision, burning and unconsciousness. Wearing breathing gear or sealed armour makes one immune to the effects and damage of the weapon.",weapon,,
227,SWE/2 Sonic Rifle,Ranged (Heavy),8,6,Long,4,3,1200,6,No,"Concussive 1, Slow-Firing 1, Stun Damage",This rifle is used by riot control in many law enforcement groups as a non-lethal weapon. It produces a concentrated beam of sound waves which can stagger targets and possible knock them out.,weapon,,
228,LJ-40 Concussion Carbine,Ranged (Heavy),8,3,Short,4,1,2500,8,Yes,"Blast 4, Concussive 1, Knockdown, Limited Ammo 3","The LJ-40 is based off a battlefield modification to the LJ-50 concussion rifle, where a squad of engineers cut the rifle barrels down into carbine form. This incredibly powerful weapon is capable of punching through walls and hitting groups of enemies. Remove all setback dice imposed due to a target's cover.

Additional ammunition costs 40 credits per magazine of 3 rounds.",weapon,,
229,Styanax Lance,Ranged (Heavy),8,3,Short,8,2,200,8,No,"Cumbersome 4, Limited Ammo 1, Pierce 3, Vicious 1","This is a large and vicious weapon which fires harpoons, often used by the seafarers of Tralus for hunting the great Styanax sea beast.",weapon,,
230,Bola Carbine,Ranged (Heavy),8,3,Medium,3,3,1600,6,No,"Accurate 1, Ensnare 1","Often hand-crafted by specialised weapon smiths, this energy weapon fires an unusual blaster bolt that is capable of producing a low energy net that may ensnare a target.",weapon,,
231,Flame Projector,Ranged (Heavy),8,2,Short,6,2,1000,6,No,"Burn 3, Blast 8","This large weapon is used to launch flames at the enemy, traditionally used to clear bunkers and cause fear to route the enemy. It fires a viscous burning fire-gel which sticks to the foes. The Burn quality can be triggered multiple times to hit more than a single target.

Rolling 2 disadvantages in a combat check may cause the hit to damage allies.",weapon,,
232,Redirection Crystal,Skulduggery / Ranged (Light or Heavy),9,4,Short,-,-,500,9,Yes,Limited Ammo 1,"Designed by the Imperial Security Bureau, these small crystals contain pressurized Tibanna gas. When ruptured by a shot, they release their own blaster bolt in another direction. This allows operatives to obfuscate assassination scenes or frame others, as the crystal is completely vaporized. Setting up the crystal requires a Hard (3 difficulty) Skulduggery check.

Hitting the crystal requires a Hard (3 difficulty) Ranged (Light or Heavy) check.",weapon,,
233,CZ-28 Flamestrike,Gunnery,9,2,Short,8,3,2000,8,Yes,"Burn 4, Blast 9, Cumbersome 3, Vicious 2","This is a blatant copy of Merr-Sonn's CR-28, a heavy and large flame projector with an incredible amount of fire power - illegal on most worlds due being seen as an immoral weapon.",weapon,,
234,LJ-50 Concussion Rifle,Ranged (Heavy),10,2,Medium,6,2,2000,7,Yes,"Blast 4, Concussive 2, Cumbersome 3, Knockdown, Limited Ammo 4","This weapon fires intense concussive blasts at short distances, used by Transdoshan bounty hunters during the Clone Wars. It is able to punch through walls and easily scatters enemy formations.",weapon,,
235,BT X-42 Flame Projector,Gunnery,10,2,Medium,6,2,2000,7,Yes,"Blast 6, Burn 4, Vicious 1","This BlasTech bulky flame projector is one of the most destructive and morally ambiguous weapons used by the GAR. Specially trained troopers carry these for use against mass unarmoured opponents. The weapon overheats with 3 disadvantage results, unable to be used for 3 rounds. A despair causes the weapon to explode, dealing full damage to user and blast damage to anything engaged.",weapon,,
236,Garrote,Brawl,-,-,Engaged,1,0,50,2,No,Stun Setting,"This traditional assassin's weapon consists of a length of cord or cable which is easily wrapped around a target's throat. This then easily knocks out an opponent, or entirely suffocates them.",weapon,,
237,Shock Boots,Brawl,0,5,Engaged,2,0,1250,5,No,"Disorient 3, Stun 3","Common among criminals, this specialty weapon allows for a kick to hit with a bit more power thanks to the electrical circuitry that activates with the impact.",weapon,,
238,Needle Gloves,Brawl,0,5,Engaged,1,0,750,8,Yes,-,"These gloves look like any other gloves, but with a specific gesture, an ultra-thin needle slips out - loaded with any poison of choice.",weapon,,
239,Shock Gloves,Brawl,0,5,Engaged,0,1,300,2,No,Stun 3,These gloves provide an individual the ability to stun and disable an opponent at close range.,weapon,,
240,Shield Gauntlet,Brawl,1,5,Engaged,1,0,1500,8,No,"Deflection 2, Stun Damage",These gloves create energy shields around an individuals hand and forearm which allow them to repel blaster fire.,weapon,,
241,Backhand Shock Gloves,Brawl,1,3,Engaged,0,2,2000,4,No,"Concussive 1, Stun Damage, Slow-Firing 1","This glove is equipped in such a way that the user has every benefit of a stun baton in a wearable glove. However, the charging system uses movement to power the weapon, making the gloves slow to recharge. Due to the Slow-Firing 1 quality, this weapon can only be used once every other round, but a brawl check may still be made using the unarmed melee attack rules while weapon is recharging.",weapon,,
242,Brass Knuckles,Brawl,1,4,Engaged,1,0,25,0,No,Disorient 3,"These are a set of metal rings and bar of metal worn on the hand, used to have a punch deal more damage.",weapon,,
243,Cortosis Gauntlets (Refined),Brawl,1,4,Engaged,3,2,1000,7,No,Cortosis,"These metal gauntlets include a thick plate of refined cortosis along the fore-arm, allowing excellent protection against lightsabers. While in combat with a lightsaber wielder, may spend 3 disadvantage results from an opponent's combat roll targeting them to short out the lightsaber. Alternatively, may spend 3 advantage results from own combat check to short out the opponent's lightsaber.",weapon,,
244,S-1 Vamblade,Brawl,1,3,Engaged,2,1,500,4,No,Defensive 1 (+Sunder & Accurate 1 when dual wield),"Hidden within a durasteel vambrace which provides a decent amount of protection to the fore-arm against melee is a long retractable blade. It is favoured by assassins due to its ability to be concealed. When used as a pair, gain Sunder and Accurate 1 qualities (even if not being used with double weapon combat rules). Cannot deal damage to target's strain threshold.",weapon,,
245,Vibroknucklers,Brawl,1,2,Engaged,1,0,350,4,No,"Pierce 1, Vicious 1","An upgrade over the brass knuckles, these have a vibrating blade running the length of the wearer's knuckles which vibrates at an ultrasonic rate upon clenching the fist. Add 1 setback dice to locate concealed weapon. Cannot deal damage to a target's strain threshold.",weapon,,
246,Exoglove,Brawl,2,4,Engaged,2,1,2000,4,No,Knockdown,"Common around spaceports on backwater worlds, exogloves mechanically enhance strength, ostensibly for shifting cargo and performing other menial labor. Wearing one or more exogloves increases a character's Brawn by 1. As an action, a character may make an Average (2 difficulty) Ranged (Light) check to secure the exoglove's grappling hook to an object within medium range. If successful, as a maneuver on their next turn, they may reel in the cord, pulling themselves to the object (or, if the object is unsecured and lighter than they are, pulling it to them).",weapon,,
247,Kyuzo Petars,Brawl,2,3,Engaged,1,0,2000 (for a pair),7,No,"Pierce 3, Vicious 2 (Sunder, Defensive 1 when used as a pair)","Designed by the nomadic warrior Kyuzo species, Kyuzo Petars are brass knuckles with wicked curved blades extending from either side as if the wearer were holding a knife in a standard and backhand grip simultaneously. The conductive blade edges feature a mono-molecular energy field along them, which glows red hot when activated, increasing the cutting power dramatically. Often used in pairs, Kyuzo Petars lend themselves to the dizzying twists and spins the Kyuzo favor in close-quarters combat. A pair of Kyuzo Petars counts as a melee weapon for the purposes of the parry talent. When used as a pair, Kyuzo Petars gain the Sunder and Defensive 1 item qualities.",weapon,,
248,Sap Gloves,Brawl,2,5,Engaged,1,1,50,4,No,Concussive 1,"These gloves, although appearing relatively innocuous, are made with dense materials such as alloy pellets or heavy plates. This allows them to give a user's punch the equivalent of using brass knuckles. Spotting these gloves requires a Daunting (4 difficulty) Perception check.",weapon,,
249,Blast Knuckles,Brawl,4,4,Engaged,2,0,500,6,Yes,Inaccurate 1,"These unusual weapons consist of a small blaster pistol-like weapon built into a heavy glove that uses the impact of a blow to fire the blaster. However, close impact blaster shots take a strain on the user as well over time. Deal 1 strain to wielder on successful hit. Cannot deal damage to target's strain threshold.",weapon,,
250,Crushgaunts,Brawl,4,2,Engaged,1,0,5000,8,Yes,"Cortosis, Sunder, Vicious 2","Also known as ""shuk'orok"" in the Mandalorian ancient language, these gauntlets were designed for raw crushing power, capable of destroying durasteel and deflecting weapons. Upgrade ability of Brawn checks made to grip, crush or hold on to items once.

A despair or 3 disadvantage results made to crush or destroy something may deal 2 damage to wielder.",weapon,,
251,SVT-300 Stun Cloak,Brawl,7,3,Engaged,2,0,1500,4,No,"Limited Ammo 3, Stun Damage","This cloak appears as any other thermal cloak with a metallic sheen, but is laced with a series of conductive fibers that may focus an electric discharge into an attacker. When wearer is hit by a melee or brawl attack, attacker suffers 7 strain damage, consuming one of the cloak's payload.

Reloading the power source takes 3 minutes.",weapon,,
252,Gungan Personal Energy Shield,Melee,-1,5,Engaged,4,0,1000,7,No,"Defensive 2, Deflection 2","This advanced demonstration of the Gungan's understanding of shielding technology is particularly powerful. Built to the size of the user, it allows them to protect themselves from quite a bit in a single direction. Defensive quality -2 when wielder is suffering from Disoriented or Staggered.",weapon,,
253,Cortosis Shield,Melee,0,6,Engaged,4,0,900,7,No,"Cortosis, Cumbersome 3, Defensive 2, Deflection 2","This is a lightsaber resistant shield used by the most elite defense force units or jedi hunters. From a time of the Old Republic, they are not so common.",weapon,,
254,Riot Shield,Melee,0,6,Engaged,5,1,300,4,No,"Cumbersome 3, Defensive 2, Deflection 2, Disorient 1","Used by all forms of law enforcement, these riot shields is one of the most common models - built in such a way to deflect incoming projectiles and is durable enough to withstand the brunt of a melee attack. Requires 1 hand to wield, allowing the use of a one-handed melee weapon or pistol at the same time.

For 100 credits and -1 hardpoint, get a model with a maglock allowing one-handed use of a Ranged (Heavy) weapon. Firing this weapon adds 1 setback dice to checks.",weapon,,
255,Energy Buckler,Melee,0,5,Engaged,2,1,1000,7,No,"Concussive 1, Defensive 1, Deflection 1",This is a small disk which projects a small energy field which may be used to deflect energy weapons among others. A despair during combat while using this may cause it to run out of power.,weapon,,
256,Blade-breaker,Melee,0,4,Engaged,1,1,250,5,No,"Defensive 2, Pierce 1, Sunder",This specialised vibroknife is equipped with a stronger generator and an extension to the guard which can clip and snap an opponent's blade..,weapon,,
257,Molecular Stiletto,Melee,0,2,Engaged,1,1,500,5,No,"Pierce 5, Vicious 1","This weapon is produced by Xana Exotic Arms. It is a popular concealable blade among entertainers and politicians, built to resemble a stylus for datapads and is easily overlooked. The blade is damaged by 1 step upon 2 disadvantage or a despair result. Add 1 setback dice to Perception checks for finding the concealed weapon.",weapon,,
258,Semblan Obsidian Dagger,Melee,0,1,Engaged,1,2,350,4,No,-,"These Semblan daggers serve a dual function. As a tool or weapon, as well as an aid to their traditional form of meditation. When a Vurk would make their discipline check at the end of an encounter to heal strain, they heal one additional strain while they are holding this dagger. A non-Vurk well versed in the Vurk culture and mentality may be able to benefit from this.",weapon,,
259,M3 Bulwark Blast Shield,Melee,1,6,Engaged,6,1,600,5,Yes,"Cumbersome 3, Defensive 2, Deflection 2","Often used by riot or military police, this shield is about the size of a full-grown clone. It has also been used in defense against ship boarding attempts due to its ability to shrug off most weaponry used in these assaults. Requires 1 hand to wield, allowing the use of a one-handed melee weapon or pistol at the same time.",weapon,,
260,Longeing Whip,Melee,1,5,Short,3,1,600,4,No,"Ensnare 2, Stun Damage","A common piece of equipment used by animal trainers, it requires some skill to use in order to avoid hurting oneself.",weapon,,
261,Neuronic Lash,Melee,1,5,Short,1,1,800,7,No,"Ensnare 1, Stun 3, Stun Damage","This whip is commonly known as the preferred weapon of slavers. The neuronic lash, designed by Borstel, is different to the usual models - using an energy strand rather than a metallic cable - mitigating physical injury to the target. This weapon can be used to make melee attack up to short range (difficulty remains the same as melee).",weapon,,
262,Snap Baton,Melee,1,4,Engaged,1,1,50,4,No,Disorient 2,"This is a collapsible version of the truncheon, commonly used by light and undercover security corps.",weapon,,
263,Neuronic Whip,Melee,1,4,Short,1,1,750,6,No,"Disorient 4, Ensnare 1, Stun Damage",These whips are filled with a charge that is specifically designed to maximize pain signals sent through a subject's nerves. It is often used by slave drivers of Hutt Space. May make attacks at short range with a 2 difficulty check.,weapon,,
264,Sith Shield,Melee,1,4,Engaged,3,2,10000,10,Yes,"Cortosis, Defensive 1, Deflection 2, Vicious 1","Seeping with the dark side of the force, this shield is made to draw from the fury and fear of those in combat with its wielder. May commit 1 force die when hit in combat (to a maximum of the wielder's force rating).

As an action may uncommit all force dice, roll them and spend each force point on dealing 1 damage and strain (ignoring soak) to every character within short range. Gains conflict equal to the amount of force dice committed.",weapon,,
265,Kyuzo War Shield,Melee,1,4,Engaged,3,0,750,8,No,"Cumbersome 3, Defensive 1, Deflection 2, Disorient 1","Typically worn as a hat by a many Kyuzo, this shield is also used as a melee and ranged weapon at times - being able to return to the thrower when thrown skillfully. May be thrown using Ranged (Light) up to short range. It gains the limited ammo quality. Rolling 3 advantages allows the thrower to recover the shield from a ricochet.",weapon,,
266,Explorer's Knife,Melee,1,3,Engaged,2,0,100,3,No,Vicious 1,"This knife is a simple combat knife, designed for use in the wild and useful for surviving in hostile environments. Add 1 boost die to Survival checks.",weapon,,
267,Ouro Blade,Melee,1,3,Engaged,1,0,600,4,No,-,"The ancient traditions that produced this blade allowed those properly trained to inflict dozens of shallow and painful cuts on their opponent in a matter of moments. A user may spend an advantage of a successful combat check to inflict an automatic hit on the target doing base damage, and may do so multiple times.",weapon,,
268,Combat Knife,Melee,1,3,Engaged,1,0,25,1,No,-,"This physical blade is a common sight in the fringe worlds. Carried by less elite troops, it serves its purpose as a close-quarters combat weapon.",weapon,,
269,Parrying Dagger,Melee,1,3,Engaged,1,0,150,5,No,Defensive 1,"A small blade, with a wide guard which may be used to catch another weapon's strike.",weapon,,
270,Punch Dagger,Melee,1,3,Engaged,1,1,75,4,No,Pierce 1,This small and short knife is gripped in such a way that the blade protrudes between one's fingers of a clenched fist. It is unassuming enough that it is often not caught at security checkpoints. Add 2 setback dice to Perception checks to find the concealed weapon.,weapon,,
271,M8 Combat Knife,Melee,1,3,Engaged,1,1,150,4,No,"Accruate 1, Pierce 1","Produced for the GAR, this simple combat knife uses a comfortable handle and is a standard issue weapon for all clones. It is often used as a tool as well.",weapon,,
272,Diiro,Melee,1,3,Engaged,2,0,250,2 (Arbooine Only),No,Defensive 1,"This is a traditional weapon found on Arbooine, made of a single hollowed out shaft of wood - tipped with a sharp alloy blade. This weapon may be loaded with up to 3 doses of poison. Whenever an successful attack is made, the target suffers the effect of the poison.

When the weapon is damaged, increase the damage by 1 step.",weapon,,
